beriberi,"['C0020639', 'C0020621', 'C0240962', 'C0085628', 'C0032617']"
berliner,['C0221232']
berthold,['C0221232']
bertrando,['C0085606']
berucksichtigung,['C0221232']
betal,['C1269955']
betaxolol,['C0026961']
betray,['C0558261']
betzh,['C0085606']
bevirimat,['C0016927']
beware,['C0558261']
bezoar,['C0016204']
biaxial,['C0427008']
bicarbonate,"['C0020461', 'C0020625', 'C0020621', 'C0235396']"
bicoherence,['C0041657']
bicuspid,['C0425560']
bicycling,"['C0205254', 'C0848168']"
bidi,['C0337672']
bidus,['C0337672']
biermann,['C0221232']
big,['C0847488']
biking,['C0205254']
bilag,['C1517205']
bilateral,"['C0030552', 'C0221198']"
bilevel,['C0425488']
bili,['C0018932']
bilious,"['C0576456', 'C0042963', 'C0000731', 'C0232726', 'C0023380']"
bilirubin,"['C0239981', 'C0020639', 'C1096646', 'C0018965', 'C0240962']"
bility,['C0281825']
biloma,['C1313921']
bimodality,['C0542044']
binclude,['C1305739']
binge,['C0438696']
binging,"['C0020175', 'C0022107', 'C0424337']"
binocularity,['C0085635']
biobrane,['C0241158']
biocarta,['C0004604']
bioelectric,['C0231530']
bioinfer,['C0233647']
biolexicon,['C0233647']
biomech,['C0427008']
biomechanic,['C0427008']
biomechanical,['C0427008']
biometry,['C0037384']
biomicroscopy,['C0026961']
biopsy,['C0221198']
bioptic,['C0741302']
bioscaffold,['C0241158']
bioxcell,['C0746619']
bipap,"['C0425488', 'C0020440', 'C0700292', 'C0020578']"
bipolarity,['C0438696']
birth,"['C0156543', 'C0576456']"
birthing,"['C0006157', 'C0860096', 'C0156543']"
birthweight,['C0043094']
bisacodyl,"['C0016204', 'C0009806']"
bisexual,"['C0558141', 'C0237154']"
bispecific,['C0746619']
bispeciﬁc,['C0746619']
bispectral,"['C0425488', 'C0020578']"
bistability,['C0542044']
bistable,['C0542044']
bite,['C0037383']
bitemporal,"['C0013362', 'C1273573', 'C0085635', 'C0030552', 'C0030554']"
bitten,"['C0037383', 'C0013491', 'C0332575']"
biventricular,['C0232201']
bizarre,"['C0007398', 'C0424230']"
bjog,['C0006157']
bjsm,['C0024031']
blacken,"['C0443260', 'C0241157', 'C0332573']"
bladder,['C0242453']
bladderj,['C0242453']
blame,['C0233481']
blaschko,['C0332573']
blastemal,['C0741302']
blastogenesis,['C0085702']
bleed,"['C0019080', 'C0020649', 'C0016382', 'C0013491']"
bleeding,"['C0019080', 'C0020649', 'C0042963', 'C0027497', 'C0016382']"
blemish,"['C0085624', 'C0948786']"
blepharitis,"['C0085636', 'C0033774']"
blepharoptosis,"['C0026961', 'C0030552']"
bless,"['C0558261', 'C0847488']"
bleuler,['C0007398']
blindness,['C0085635']
blinking,['C0013144']
blister,"['C0241157', 'C0041834', 'C0013491', 'C0085624', 'C0332575']"
blistering,['C0041834']
bloat,"['C0016204', 'C1291077', 'C0232726', 'C0009806', 'C0232602']"
bloated,"['C0000731', 'C0581912', 'C0016204', 'C0232726', 'C0008301']"
bloating,"['C1291077', 'C0016204', 'C0232726', 'C0009806', 'C0232602']"
blond,['C0332573']
blood,['C0020649']
bloodspot,['C0427629']
bloody,"['C0232726', 'C0000731', 'C0023380', 'C0000737', 'C0231218']"
blotch,"['C0241157', 'C0332573']"
blow,['C0008301']
blre,['C0085702']
blues,"['C0917801', 'C0028084', 'C0027769', 'C0847488']"
bluish,"['C0332573', 'C0443260', 'C0577979', 'C0241157', 'C0030232']"
blunting,"['C0241526', 'C0232498', 'C0872410', 'C0742985', 'C0277845']"
blur,['C0085635']
blurry,"['C0085635', 'C0085636', 'C0030232', 'C0443260']"
blush,"['C0006318', 'C0694547', 'C0232257', 'C0240100']"
bmd,['C0043094']
bmdl,['C0239301']
bmi,"['C0497406', 'C0041667', 'C0043094', 'C0205254']"
bmipp,['C0520887']
bmiz,"['C0041667', 'C0497406']"
bmus,"['C0497406', 'C0041667', 'C0205254', 'C0043094']"
bmz,['C0241157']
bochdalek,['C0264576']
bode,['C0425488']
bodily,"['C0858924', 'C1384606', 'C0000737']"
body,"['C0003123', 'C0581912', 'C0038999', 'C0028081', 'C0043094']"
bodyweight,['C0043094']
boerhaave,"['C0232602', 'C1321756']"
bogalusa,['C0497406']
bogus,['C0008301']
bohlen,['C0221232']
boiling,['C0085593']
bolder,['C0424337']
boly,['C0041657']
boo,['C0242453']
booking,"['C0860096', 'C0006157']"
bop,['C0013491']
bore,"['C0558261', 'C0847488']"
boredom,"['C0233481', 'C0917801', 'C0233492', 'C0028084']"
borg,"['C0848168', 'C0015672']"
borna,['C0240805']
bossing,['C0030232']
bother,"['C0847488', 'C0233481', 'C0558261', 'C0235198', 'C0027769']"
bothersome,"['C0600142', 'C1291077', 'C0009806', 'C0016204', 'C0018834']"
bothersomeness,"['C0004604', 'C0024031', 'C0036396', 'C0423571', 'C0030193']"
botox,['C0392699']
botulinum,['C0392699']
botulism,['C0011991']
bougie,['C0857516']
boumab,['C0085606']
bout,['C0205254']
boveri,['C0221232']
bovi,['C0032739']
bowel,"['C0009806', 'C0018932']"
bowels,"['C0009806', 'C0232726', 'C0016204', 'C0581912', 'C1291077']"
boy,"['C0497406', 'C0041667']"
boyfriend,['C0558261']
bpd,"['C0700292', 'C0020578']"
bpe,['C0019572']
bph,['C0242453']
bpm,"['C0428977', 'C0240100', 'C0232201', 'C0039070', 'C0232257']"
bpobgyn,['C0006157']
bppv,"['C0042571', 'C0014394', 'C0040822', 'C0423571', 'C0039070']"
bpsd,"['C0338656', 'C0234133']"
brace,['C0024031']
brachii,['C0231530']
brachioradiali,['C0231530']
brachius,['C0231530']
brachydactyly,['C0018862']
bradyarrhythmia,"['C0428977', 'C0039070', 'C0020461', 'C0235710', 'C0232201']"
bradycardic,"['C0149746', 'C0020578', 'C0428977']"
bradycardium,"['C0428977', 'C0020649', 'C0039070', 'C0020578', 'C0037763']"
bradykinesium,"['C0233565', 'C0040822', 'C0234133', 'C0872410', 'C1273573']"
brage,['C0205254']
braille,['C0233647']
brainnet,['C0347938']
brave,['C0558261']
breakfast,"['C0020175', 'C0205254']"
breastfed,['C0576456']
breastfeed,['C0043094']
breastfeeding,"['C0043094', 'C0156543']"
breath,"['C0010200', 'C0020578', 'C0035508', 'C0013404', 'C0038990']"
breathe,['C0020578']
breather,"['C0038450', 'C0542073', 'C0037383', 'C0013132', 'C0037384']"
breathing,"['C0020578', 'C0010200', 'C0700292', 'C0013404', 'C0232118']"
breathless,"['C0034642', 'C0857256', 'C0392680', 'C0085619', 'C0010520']"
breathlessness,"['C0013404', 'C0392680', 'C0010200', 'C0232292', 'C0085619']"
breech,"['C0006157', 'C0860096']"
breslow,['C0741302']
brief,['C0028084']
brimonidine,['C0026961']
brisk,"['C0872410', 'C0009024', 'C0234450', 'C0848168', 'C0034642']"
brodalumab,['C1517205']
bromfenac,['C0026961']
brompton,"['C0240100', 'C0085619', 'C0034642']"
bronchial,"['C0010200', 'C0743482']"
bronchiectasis,"['C0743482', 'C0035508', 'C0264576', 'C0038450', 'C0019079']"
bronchiectatic,"['C0743482', 'C0035508']"
bronchiolar,['C0743482']
bronchiole,['C0743482']
bronchiolitis,"['C0038450', 'C0043144']"
bronchoconstriction,['C0020578']
bronchoconstrictor,['C0020578']
bronchogram,"['C0035508', 'C0264576', 'C0743482', 'C0740844', 'C0034642']"
bronchopneumonium,"['C0019079', 'C0743482', 'C0038450', 'C0011991', 'C0264576']"
bronchopulmonary,['C0038450']
bronchoscopic,['C0034079']
bronchovascular,"['C0743482', 'C0264576', 'C0205400']"
bronchus,"['C0264576', 'C0743482']"
brownish,"['C0443260', 'C0241157']"
brs,"['C0024031', 'C0036396']"
brugada,"['C0520886', 'C0039070', 'C0232201']"
bruise,"['C0013491', 'C0332575', 'C0038999', 'C0085624', 'C0041834']"
bruising,"['C0013491', 'C0332575', 'C0033774', 'C0085624', 'C0231528']"
brunn,['C0221232']
brunnstrom,"['C0233565', 'C0030552']"
brushing,['C0013132']
brutal,['C0558261']
bruxism,"['C0013132', 'C0037384', 'C0014394', 'C0149758', 'C0751229']"
brysbaert,['C0233647']
bsab,['C0746619']
btcp,['C0392699']
buche,['C0234238']
buffering,['C0235396']
bulbar,"['C0030552', 'C0030554', 'C0392699', 'C0004134', 'C0234133']"
bulimia,"['C0003123', 'C0424337', 'C0020175', 'C0149696']"
bulimic,"['C0030318', 'C0424337']"
bulimium,"['C0003123', 'C0030318', 'C0424337', 'C0020175']"
bulla,"['C0241157', 'C0038999', 'C0013491', 'C0332573', 'C0019079']"
bullae,"['C0241157', 'C0038999', 'C0013491']"
bulldog,['C0857516']
bullock,['C0554980']
bullous,['C0041834']
bully,['C0438696']
bullying,['C0438696']
bumper,['C0008301']
bun,"['C0239981', 'C0028961', 'C0020639', 'C0018965', 'C0240962']"
burglary,['C0237154']
burn,"['C0677500', 'C0013491']"
burner,['C0008301']
burning,"['C0085624', 'C0677500', 'C0008301', 'C0028643', 'C0232292']"
bursitis,['C0036396']
burulus,['C0241157']
burwood,['C0205254']
busy,"['C0857256', 'C0234450']"
butcher,['C0554980']
buttery,['C0554980']
buttock,"['C0332573', 'C0013491', 'C0041834', 'C0037580', 'C0028643']"
butyrylcholinesterase,['C0234238']
buysse,['C0751229']
buzzer,['C0542044']
bva,['C0003862']
bvaht,['C0311395']
bvftd,"['C0234133', 'C0347938', 'C0233565']"
bvp,"['C0520887', 'C0232201']"
bw,['C0043094']
bza,"['C0600142', 'C0239301', 'C1384606']"
cacophony,"['C0859032', 'C0312422', 'C0232517', 'C0220870', 'C0558261']"
cad,['C0002962']
cadence,['C0427008']
cadr,['C0559546']
caesarean,"['C0006157', 'C0156543', 'C0860096']"
caesarian,"['C0006157', 'C0860096', 'C0156543']"
caf,['C1269955']
cagmrk,['C0003126']
cagmzrk,"['C0018932', 'C0003126']"
cais,"['C0019572', 'C0558141']"
calcification,"['C0205400', 'C0221198']"
calcified,['C0205400']
calciﬁcation,['C0427008']
calciﬁcations,['C0221198']
calcoﬂuor,['C0443260']
calculi,"['C1313921', 'C0242453']"
calculus,"['C1313921', 'C0242453']"
caliber,"['C0427008', 'C0205400']"
calibre,['C0006318']
caliceal,['C1313921']
callus,['C0241158']
calm,"['C0234450', 'C0847488', 'C0541992', 'C0028084', 'C0027769']"
calming,"['C0917801', 'C0013144', 'C0234450', 'C0027769']"
calmness,"['C0917801', 'C0027769', 'C0233492', 'C0234450']"
caloric,"['C0043094', 'C0020175']"
calorie,"['C0043094', 'C0020175', 'C0497406']"
calpastatin,['C0234238']
calve,['C0311395']
calving,['C0311395']
calyceal,['C1313921']
camber,['C0427008']
cami,['C0859032']
camptodactyly,['C0018862']
canakinumab,['C1517205']
cancerization,['C0741302']
cancerogenesis,['C1269955']
cancerologia,['C0024103']
candle,['C0008301']
cannabis,['C0438696']
canptcphysiotherapy,['C0024031']
capability,['C1299586']
capacity,['C0392674']
capd,"['C0239981', 'C0020625']"
capillarity,['C0427008']
capnograph,"['C0232118', 'C0240100']"
capnography,"['C0425488', 'C0020578', 'C0232118', 'C0700292']"
capsaicin,['C0677500']
capsid,['C0016927']
capsomere,['C0016927']
capsulitis,['C0036396']
carbetocin,['C0006157']
carbogen,"['C0020578', 'C0020440']"
carboxyhemoglobin,"['C0700292', 'C0020578']"
carboxylesterase,['C0234238']
cardiac,['C0232201']
cardio,"['C0002962', 'C0039070']"
cardiocirculatory,"['C0578150', 'C0700292', 'C0028961', 'C0020578', 'C0428977']"
cardiogenic,"['C0039070', 'C0028961', 'C0520886', 'C0700292']"
cardiogram,"['C0520887', 'C0240100', 'C0006318']"
cardiography,['C0232118']
cardiologic,"['C0039070', 'C0235710', 'C0578150', 'C0520887']"
cardiological,"['C0039070', 'C0235710', 'C0520887', 'C0002962', 'C0476287']"
cardiology,"['C0039070', 'C0520886', 'C0002962']"
cardiometabolic,"['C0497406', 'C0205254']"
cardiopathy,"['C0018991', 'C0018800', 'C0235710', 'C0428977']"
cardiopulmonary,"['C0578150', 'C0700292', 'C0020578', 'C0425488', 'C0039070']"
cardiorenal,['C0020461']
cardiorespiratory,"['C0205254', 'C0149746', 'C0425488', 'C0497406', 'C0015672']"
cardiotocography,"['C0006157', 'C0020578', 'C0231835', 'C0520887', 'C0232118']"
cardiovagal,"['C0149746', 'C0020578']"
cardioversion,['C0232201']
carecrit,['C0700292']
carecritical,"['C0578150', 'C0700292', 'C0020578']"
caregiver,['C0233481']
careless,"['C0008301', 'C0847488']"
carelessness,"['C0312422', 'C0233481']"
caretaker,['C0237304']
carinatum,"['C0018800', 'C0019214']"
carmine,['C0443260']
carpal,['C0036396']
carpometacarpal,['C0018862']
carrier,['C0231221']
carrying,['C0008301']
cartilage,['C0241158']
carto,['C0232201']
cartoon,['C0429562']
carver,['C0554980']
casaburi,['C0425488']
case,['C0221198']
caseating,['C0241157']
caseation,['C0241157']
caseous,['C0241157']
cat,"['C0009024', 'C0234238']"
catamenial,"['C0235250', 'C0019079', 'C0600142', 'C0036572', 'C0018681']"
cataplexy,"['C0917799', 'C0751229', 'C0234133', 'C0040822', 'C0009024']"
catarrhal,"['C0424749', 'C0011991', 'C0003862', 'C0231528']"
catatonic,"['C0007398', 'C0085628', 'C0234133', 'C0022107', 'C0424230']"
catatonium,"['C0007398', 'C0234133', 'C0085628', 'C0240805']"
category,['C0085639']
cathartic,"['C0016204', 'C0009806']"
catheterization,['C0578150']
catheterize,['C0578150']
catsj,['C0311395']
cattlevet,['C0311395']
catumaxomab,['C0746619']
catwalk,"['C0311395', 'C0233565']"
causing,"['C0018932', 'C0018965', 'C0000727', 'C0020621']"
caustic,"['C0728899', 'C0008301']"
cavi,['C0427008']
cavitary,"['C0743482', 'C0034079']"
cavity,['C0221198']
cavotricuspid,['C0232201']
cavus,['C0013362']
cbc,['C0277797']
cbf,"['C0020578', 'C0020440', 'C0347938', 'C0700292']"
cbfv,"['C0149746', 'C0020578', 'C0232118', 'C0020440']"
cbt,['C0030318']
ccam,"['C0264576', 'C0038450']"
ccot,['C0741302']
cdmr,"['C0006157', 'C0156543', 'C0860096']"
cdyn,"['C0020578', 'C0425488']"
cease,['C0424092']
cect,['C0034079']
celex,['C0233647']
celiac,['C0149696']
cellmolbiolcellmbcmol,['C0085606']
cellularity,"['C0741302', 'C0205400']"
cellulite,"['C0013491', 'C0948786', 'C0332575']"
celsius,"['C0085593', 'C0751466', 'C0476273']"
cemoc,['C0860096']
censor,['C0424092']
centigrade,"['C0476273', 'C0751466', 'C0231835', 'C0085593', 'C0332575']"
centile,"['C0041667', 'C0576456', 'C0497406']"
centrilobular,['C0743482']
cephalalgia,"['C0018681', 'C0037763', 'C0423571', 'C0042571', 'C0392699']"
cephalic,['C0006157']
cephalopelvic,"['C0006157', 'C0860096']"
cerclage,['C0006157']
cerebellar,['C0234133']
cerebral,['C0347938']
cerebro,"['C0018991', 'C0030552']"
cerebrotendinous,['C0347938']
cerebrovascular,"['C0002962', 'C0018991', 'C0235710']"
ceroid,['C0004134']
certolizumab,['C1517205']
ceruloplasmin,['C0020639']
cervicitis,['C1384606']
cervicogenic,"['C0036396', 'C0042571', 'C0024031', 'C0018681', 'C0392699']"
cesarean,"['C0156543', 'C0006157', 'C0860096']"
cessationcochrane,['C0030318']
cfae,"['C0232201', 'C0520886']"
cffdna,['C0427629']
cfigure,['C0085606']
cfs,"['C0015672', 'C0040264', 'C0024031']"
cge,['C0429562']
chabc,['C0241158']
chac,"['C0004134', 'C0234133']"
chalky,"['C0443260', 'C0241157']"
challenge,['C1299586']
chancre,"['C0241157', 'C0013491', 'C0041834', 'C0038999']"
channelopathy,"['C0039070', 'C0020461']"
chant,['C0554980']
chaos,['C0542044']
chaotic,['C0542044']
characteristically,['C0241157']
chase,['C0231441']
chasing,['C0028084']
chatter,"['C0037383', 'C0312422', 'C0013144', 'C0027769', 'C0917801']"
chd,['C0497406']
checkcif,"['C0231872', 'C0231690']"
cheer,"['C0558261', 'C0028084', 'C0847488']"
cheerful,"['C0847488', 'C0558261']"
cheilitis,['C0149758']
chemicon,['C0746619']
chemoinvasion,['C1269955']
chemoreflex,"['C0020578', 'C0020440', 'C0700292', 'C0149746']"
chemoresistance,['C1269955']
chemosis,"['C0085636', 'C0013491', 'C0332575', 'C0030232', 'C0026961']"
cheney,['C0554980']
chenoweth,['C0554980']
chep,"['C0423571', 'C0231530', 'C0040264']"
chest,"['C0013404', 'C0034642', 'C0264576', 'C0010200', 'C0018800']"
chew,"['C0013132', 'C0008301', 'C0037384']"
chewer,['C0337672']
chewing,"['C0013132', 'C0149758', 'C0037384']"
chf,"['C0002962', 'C0085619']"
chiabu,['C0237154']
chikungunya,['C0424749']
child,['C0497406']
childbearing,['C0156543']
childbirth,"['C0156543', 'C0006157']"
children,['C0576456']
chingford,['C0018862']
chiro,"['C0036396', 'C0024031']"
chiropr,"['C0024031', 'C0036396']"
chiropractic,"['C0024031', 'C0036396', 'C0030193']"
chiropractor,"['C0024031', 'C0036396']"
choanal,['C0038450']
cholangiocellular,['C0003962']
cholangiogram,"['C0740844', 'C1313921']"
cholera,['C0011991']
cholestasis,"['C1096646', 'C0020639', 'C0235250']"
cholestatic,['C1096646']
cholinesterase,['C0234238']
chondral,['C0241158']
chondrocalcinosis,['C0018862']
chondron,['C0241158']
chopstick,['C0008301']
chorea,"['C0234133', 'C0004134', 'C0007398', 'C0037763', 'C0040822']"
choreoathetosis,"['C0004134', 'C0234133', 'C0234544', 'C0007398', 'C0013362']"
chorioamnionitis,"['C0006157', 'C0860096']"
chorioretinopathy,['C0085635']
chronic,"['C0015672', 'C0030193']"
chronicity,"['C0240805', 'C1517205']"
chronification,"['C0018681', 'C0240805', 'C0030193', 'C0423571', 'C0036396']"
chronobiological,"['C0751229', 'C0022107', 'C0917799']"
chronobiology,"['C0751229', 'C0013144', 'C0234450', 'C0541992', 'C0917801']"
chronotype,"['C0751229', 'C0234450', 'C0424337', 'C0022107']"
churn,['C0558261']
chyle,['C1313921']
chylothorax,['C0038450']
chylous,"['C0003962', 'C1313921', 'C0019209', 'C0020639']"
chyme,['C0016204']
cig,['C0337672']
cigarette,['C0337672']
cih,"['C0020440', 'C0700292', 'C0020578']"
cimt,['C0427008']
cinca,"['C0003862', 'C0018862']"
cind,['C0338656']
cinv,['C0027497']
ciocalteu,['C0424000']
cipa,"['C0018862', 'C0085636']"
cipn,"['C0392699', 'C0423571', 'C0030554', 'C0033774', 'C0677500']"
cipo,"['C1321756', 'C0014394']"
circling,"['C0009024', 'C0872410', 'C0242143', 'C0233844', 'C0040822']"
circo,['C0016512']
circulatory,"['C0020649', 'C0700292']"
circumcision,['C0156543']
circumference,"['C0497406', 'C0041667', 'C0043094']"
circumferential,"['C0427008', 'C0205400']"
cirelli,"['C0751229', 'C0041657']"
cirrhotic,['C0003962']
ckmb,"['C0520887', 'C0520886']"
clap,['C0859032']
clarity,['C0429562']
clash,['C0429562']
clasping,"['C0009024', 'C0242143', 'C0872410', 'C0553668', 'C0311395']"
classically,['C0007398']
claudication,"['C0002962', 'C0006318', 'C0235710', 'C0037763', 'C0085619']"
claudius,['C0221232']
claustrophobia,['C0003126']
clbp,"['C0024031', 'C0036396', 'C0030193']"
clcr,['C0239981']
clench,"['C0872410', 'C0013132', 'C0233844']"
clenching,"['C0872410', 'C0013132', 'C0040822', 'C0231530', 'C0009024']"
clevidipine,['C0149746']
climacteric,"['C0600142', 'C0019572', 'C0022107']"
climb,['C0085639']
clinically,"['C0231221', 'C0221198', 'C0559546', 'C0020649']"
clinimetric,['C0233565']
clinneuroimage,['C0347938']
clinodactyly,"['C0030232', 'C0019214']"
clitoral,['C1384606']
clnu,['C0006625']
clod,"['C0443260', 'C0241157']"
clonic,"['C0009024', 'C0030552', 'C1273573', 'C0872410', 'C0036572']"
closed,['C0231441']
closure,['C0008767']
clotted,['C0443260']
clouding,"['C0030232', 'C0019214', 'C0085636', 'C0013362', 'C0010520']"
cloudy,"['C0443260', 'C0030232', 'C0577979', 'C0000731']"
clown,"['C0558261', 'C0028084', 'C0859032', 'C0234450']"
cloze,['C0233647']
clubbing,"['C0030232', 'C0006318', 'C0019214', 'C0034642', 'C0018800']"
clumsy,"['C0233844', 'C1273573', 'C0872410', 'C0242143', 'C0013362']"
clusterization,['C0429562']
cmap,"['C0231530', 'C0040822']"
cmep,['C0231530']
cmmc,"['C0231530', 'C0232602']"
cmpa,['C0149696']
cmrglc,['C0347938']
cmt,['C0004134']
cncp,['C0024031']
cnto,['C0746619']
coagulate,['C0948786']
coagulated,"['C0443260', 'C0241158']"
coagulative,['C0241158']
coagulopathy,"['C0020649', 'C0020639', 'C0019080', 'C0239981', 'C0028961']"
coagulum,"['C0443260', 'C1313921', 'C0241158']"
coax,['C0558261']
coch,['C0003126']
cochlear,['C0040264']
cocontraction,['C0231530']
codification,['C0233647']
coeliac,['C0149696']
coercive,"['C0438696', 'C0558141']"
cognition,['C0338656']
cognitive,['C0338656']
cognitively,"['C0338656', 'C0871754']"
cohb,"['C0020578', 'C0700292']"
coherent,['C0542044']
coherently,['C0542044']
coid,['C0007398']
coitus,"['C1384606', 'C0156543', 'C0013428']"
cold,"['C0085593', 'C0392162']"
coldness,"['C0917801', 'C0220870', 'C0027769', 'C0012833', 'C0085636']"
colic,"['C0009806', 'C0042963', 'C0037763', 'C0016204', 'C1291077']"
colicky,"['C0232726', 'C1291077', 'C0042963', 'C0000731', 'C0016204']"
colistimethate,['C0020461']
collapse,['C0085639']
collapsed,['C0264576']
collapsibility,"['C0232118', 'C0425488', 'C0700292', 'C0020578', 'C0240100']"
collateral,['C0241158']
collect,['C0424092']
colloquial,['C0233647']
colonography,['C0034079']
coloring,['C0429562']
colporrhaphy,['C1384606']
colposcopic,['C0741302']
coma,"['C0085628', 'C0151315', 'C0231835', 'C0010520', 'C0028961']"
comatose,"['C0578150', 'C0085628', 'C0857256', 'C0020578', 'C0151315']"
combative,"['C0872410', 'C0085628']"
come,['C0085639']
comedo,['C0741302']
comedone,"['C0241157', 'C0085624', 'C0033774', 'C0677500']"
comfort,['C0233481']
comfortable,['C0234450']
commence,['C0424092']
commencement,['C0424092']
comminution,['C0277845']
communacta,['C0004134']
communicationthe,['C0233844']
